ezMaterialResourceSlot;Material Slot
ezSurfaceResourceSlot;Surface Slot
Cap;Cap;Whether to put a cap polygon at the end
Cap 2;Cap Bottom;Whether to put a cap polygon at the other end
Prim.Sphere.Detail1;Sphere Segments;Number of segments in the sphere
Prim.Sphere.Detail2;Sphere Stacks;Number of stacks in the sphere
Prim.Torus.Detail1;Segments;Number of segments in the sphere
Prim.Torus.Detail2;Ring Detail;Number of polygons in each segment
Prim.Torus.Radius1;Inner Radius
Prim.Torus.Radius2;Outer Radius
Prim.GeoSphere.Detail;Subdivisions;How often to subdivide the sphere, adding more and more detail. Should be between 1 and 3.
Prim.Cylinder.Detail;Detail;How detailed to make the rounding
Prim.Cylinder.Radius1;Radius Top
Prim.Cylinder.Radius2;Radius Bottom
Prim.Cylinder.Angle;Angle;How much of the cylinder to use. 360 is the full cylinder, 180 is only half of it.
Prim.Cylinder.Cap1;Cap Top;Whether to cap the top
Prim.Cylinder.Cap2;Cap Bottom;Whether to cap the bottom
Prim.Rect.Detail1;Tesselation X;Number subdivisions along the X axis
Prim.Rect.Detail2;Tesselation Z;Number subdivisions along the Z axis
ezTexture2DChannelMappingEnum::R1;Red - Single Input
ezTexture2DChannelMappingEnum::RG1;Red Green - Single Input
ezTexture2DChannelMappingEnum::R1_G2;RG - Input1.r, Input2.r
ezTexture2DChannelMappingEnum::RGB1;RGB - Single Input
ezTexture2DChannelMappingEnum::R1_G2_B3;RGB - Input1.r, Input2.r, Input3.r
ezTexture2DChannelMappingEnum::RGBA1;RGBA - Single Input
ezTexture2DChannelMappingEnum::RGB1_A2;RGBA - Input1.rgb, Input2.r
ezTexture2DChannelMappingEnum::R1_G2_B3_A4;RGBA - Input1.r, Input2.r, Input3.r, Input4.r
ezTexture2DChannelMappingEnum::RGB1_ABLACK;RGBA - Input1.rgb, Alpha = Black
ezTextureCubeChannelMappingEnum::RGB1;Cubemap: RGB - Single Input
ezTextureCubeChannelMappingEnum::RGBA1;Cubemap: RGBA - Single Input
ezTextureCubeChannelMappingEnum::RGB1TO6;Cubemap: RGB - 6 Inputs
ezTextureCubeChannelMappingEnum::RGBA1TO6;Cubemap: RGBA - 6 Inputs
Color CPs;Color Control Points
Alpha CPs;Alpha Control Points
Intensity CPs;Intensity Control Points
ezColorControlPoint;Color
ezAlphaControlPoint;Alpha
ezIntensityControlPoint;Intensity
ezPropertyAnimComponent;Property Animation
Curves;Curves
ezCurve1DData;Curve Data
Control Points;Control Points
ezCurve1DControlPoint;Control Point
Animations;Animations
ezPropertyAnimEntry;Animation
ezPropertyAnimMode::Once;Once
ezPropertyAnimMode::Loop;Loop
ezPropertyAnimMode::BackAndForth;Back and Forth
ezPropertyAnimTarget::Number;Number
ezPropertyAnimTarget::VectorX;Vector X
ezPropertyAnimTarget::VectorY;Vector Y
ezPropertyAnimTarget::VectorZ;Vector Z
ezPropertyAnimTarget::VectorW;Vector W
ezPropertyAnimTarget::Color;Color
ShaderProperties;Shader Properties
Input 1;Input 1
Input 2;Input 2
Input 3;Input 3
Input 4;Input 4
Input 5;Input 5
Input 6;Input 6
Right (+X);Right (+X)
Left (-X);Left (-X)
Top (+Y);Top (+Y)
Bottom (-Y);Bottom (-Y)
Front (+Z);Front (+Z)
Back (-Z);Back (-Z)
ezMaterialShaderMode::File;From File
ezMaterialShaderMode::Custom;Visual Shader
ezMaterialShaderMode::BaseMaterial;From Base Material
Project.SceneImport;Import Scene
VisualShader.CleanGraph;Clean Visual Shader Graph
TextureAsset.ChannelMode;
ezTextureChannelMode::RGBA;Display Channel: RGB*A
ezTextureChannelMode::RGB;Display Channel: RGB
ezTextureChannelMode::Red;Display Channel: Red
ezTextureChannelMode::Green;Display Channel: Green
ezTextureChannelMode::Blue;Display Channel: Blue
ezTextureChannelMode::Alpha;Display Channel: Alpha
ezTextureFilterSetting::FixedNearest;Fixed: Nearest
ezTextureFilterSetting::FixedBilinear;Fixed: Bilinear
ezTextureFilterSetting::FixedTrilinear;Fixed: Trilinear
ezTextureFilterSetting::FixedAnisotropic2x;Fixed: Anisotropic 2x
ezTextureFilterSetting::FixedAnisotropic4x;Fixed: Anisotropic 4x
ezTextureFilterSetting::FixedAnisotropic8x;Fixed: Anisotropic 8x
ezTextureFilterSetting::FixedAnisotropic16x;Fixed: Anisotropic 16x
ezTextureFilterSetting::LowestQuality;Lowest Quality
ezTextureFilterSetting::LowQuality;Low Quality
ezTextureFilterSetting::DefaultQuality;Default Quality
ezTextureFilterSetting::HighQuality;High Quality
ezTextureFilterSetting::HighestQuality;Highest Quality
TextureAsset.LodSlider;Mipmap
ezTexture2DResolution::Fixed64x64;64 * 64
ezTexture2DResolution::Fixed128x128;128 * 128
ezTexture2DResolution::Fixed256x256;256 * 256
ezTexture2DResolution::Fixed512x512;512 * 512
ezTexture2DResolution::Fixed1024x1024;1024 * 1024
ezTexture2DResolution::Fixed2048x2048;2048 * 2048
ezTexture2DResolution::CVarRtResolution1;CVar RT Resolution 1
ezTexture2DResolution::CVarRtResolution2;CVar RT Resolution 2
ezTextureCubeUsageEnum::Unknown;Unknown
ezTextureCubeUsageEnum::Skybox;Skybox
ezTextureCubeUsageEnum::LookupTable;Lookup Table
ezTextureCubeUsageEnum::SkyboxHDR;Skybox HDR
ezTextureCubeUsageEnum::Other_sRGB;Other sRGB
ezTextureCubeUsageEnum::Other_Linear;Other Linear
ezMeshPrimitive::File;From File
ezMeshPrimitive::Box;Box
ezMeshPrimitive::Rect;Rectangle
ezMeshPrimitive::Cylinder;Cylinder
ezMeshPrimitive::Cone;Cone
ezMeshPrimitive::Pyramid;Pyramid
ezMeshPrimitive::Sphere;Sphere
ezMeshPrimitive::HalfSphere;Half Sphere
ezMeshPrimitive::GeodesicSphere;Geodesic Sphere
ezMeshPrimitive::Capsule;Capsule
ezMeshPrimitive::Torus;Torus
ezMeshNormalPrecision::_10Bit;10 Bit
ezMeshNormalPrecision::_16Bit;16 Bit
ezMeshNormalPrecision::_32Bit;32 Bit
ezMeshTexCoordPrecision::_16Bit;16 Bit
ezMeshTexCoordPrecision::_32Bit;32 Bit
VisScript.PickDebugTarget;Pick Debug Target...
ezMaterialAnimComponent;Material Animation
ezCollectionAssetEntry;Collection Asset Entry
Entries;Entries
ControlPoints;Control Points
TextureCubeAsset.LodSlider;Level of Detail
TextureImport.Diffuse;Diffuse Texture
TextureImport.Normal;Normal Map
TextureImport.HDR;HDR Texture
TextureImport.Linear;Linear Texture
TextureImport.AO;Ambient Occlusion Texture
TextureImport.Height;Height Map Texture
TextureImport.Metalness;Metalness Texture
TextureImport.Roughness;Roughness Texture
ezDecalMode::BaseColor;Base Color
ezDecalMode::BaseColorNormal;Base Color, Normal
ezDecalMode::BaseColorORM;Base Color, ORM
ezDecalMode::BaseColorNormalORM;Base Color, Normal, ORM
ezDecalMode::BaseColorEmissive;BaseColor, Emissive
MeshImport.WithMaterials;Mesh and Materials
MeshImport.NoMaterials;Mesh only
DecalImport.All;Decal
CubemapImport.Skybox;Skybox
CubemapImport.SkyboxHDR;HDR Skybox
SkeletonImport;Animation Skeleton
AnimationClipImport;Animation Clip
ezRenderTargetFormat::RGBA8;RGBA8 (linear)
ezRenderTargetFormat::RGBA8sRgb;RGBA8 (sRGB)
ezRenderTargetFormat::RGB10;RGB10
ezRenderTargetFormat::RGBA16;RGBA16
ezSkeletonJointGeometryType::None;None
ezSkeletonJointGeometryType::Capsule;Capsule
ezSkeletonJointGeometryType::Sphere;Sphere
ezSkeletonJointGeometryType::Box;Box
ezSkeletonComponent;Skeleton
BoolParameters;Bool Variables
NumberParameters;Number Variables
ezVisualScriptParameterNumber;Number Variable
ezVisualScriptParameterBool;Bool Variable
ezRootMotionExtractionMode::None;None
ezRootMotionExtractionMode::Custom;Custom
ezRootMotionExtractionMode::FromFeet;From Feet
ezRootMotionExtractionMode::AvgFromFeet;Average From Feet
ezTexConvCompressionMode::None;Uncompressed
ezTexConvCompressionMode::Medium;Medium Compression
ezTexConvCompressionMode::High;Strong Compression
ezTexConvMipmapMode::None;No Mipmaps
ezTexConvMipmapMode::Linear;Generate: Linear
ezTexConvMipmapMode::Kaiser;Generate: Kaiser
MipmapMode;Mipmaps
CompressionMode;Compression
TextureFilter;Filtering
AddressModeU;Address Mode U
AddressModeV;Address Mode V
AddressModeW;Address Mode W
ChannelMapping;Channel Mapping
FlipHorizontal;Flip Horizontal
PremultipliedAlpha;Premultiply Alpha
ezImageAddressMode::Repeat;Repeat
ezImageAddressMode::Clamp;Clamp
ezImageAddressMode::ClampBorder;Clamp to Black
ezImageAddressMode::Mirror;Mirror
ezTexConvUsage::Auto;Auto
ezTexConvUsage::Color;Color
ezTexConvUsage::Linear;Linear
ezTexConvUsage::Hdr;HDR
ezTexConvUsage::NormalMap;Normal Map
ezTexConvUsage::NormalMap_Inverted; Normal Map (inverted)
ezTexConvUsage::BumpMap;Bump Map
ezColorAnimationComponent;Color Animation
ezJointAttachmentComponent;Joint Attachment
AnimatedMeshImport.NoMaterials;Animated Mesh only
AnimatedMeshImport.WithMaterials;Animated Mesh and Materials
Length;Length
Thickness;Thickness
Width;Width
Input1;Input1
AvailableClips;Available Clips
