BLEND_MODE;Blend Mode
BLEND_MODE::BLEND_MODE_OPAQUE;Opaque
BLEND_MODE::BLEND_MODE_MASKED;Masked
BLEND_MODE::BLEND_MODE_TRANSPARENT;Transparent
BLEND_MODE::BLEND_MODE_ADDITIVE;Additive
BLEND_MODE::BLEND_MODE_MODULATE;Modulate

SHADING_MODE;Shading Mode
SHADING_MODE::SHADING_MODE_LIT;Lit
SHADING_MODE::SHADING_MODE_FULLBRIGHT;Fullbright

TWO_SIDED;Two Sided

BaseColor;Base Color
BaseTexture;Base Texture
NormalTexture;Normal Texture
MetallicTexture;Metallic Texture
MetallicValue;Metallic Value
RoughnessTexture;Roughness Texture
RoughnessValue;Roughness Value
