Document.Create;&Create Document
Document.Open;&Open Document
Document.Undo;Undo
Document.Redo;Redo
Project.RecentDocuments.Menu;Recent &Documents
Project.Create;Create Project
Project.Open;Open Project
Project.RecentProjects.Menu;Recent &Projects
Project.Close;Close Project
Project.DataDirectories;D&ata Directories
Project.InputConfig;&Input Configuration
Settings.Open;S&ettings
Engine.ReloadResources;Reload Resources
Engine.ReloadEngine;Reload Engine
Document.Save;&Save
Document.SaveAll;Save All
Document.SaveAs;Save &As...
Document.Close;Close
Document.OpenContainingFolder;Open Containing &Folder
Document.CopyAssetGuid;Copy Asset Guid
Document.MoveWindow;Move to Container Window
Document.NewWindow;New Container Window
Selection.Copy;Copy
Selection.Paste;Paste
Selection.PasteAsChild;Paste as Child
Selection.Delete;Delete
Menu.Editor;&Editor
Menu.File;&File
Menu.Edit;E&dit
Menu.Panels;&Panels
Menu.Project;Pr&oject
Menu.Scene;&Scene
Menu.Tools;&Tools
Menu.View;&View
Menu.Help;&Help
Menu.ProjectSettings;Project Settings
Menu.EditorSettings;Editor Settings
Editor.Tests;Tests
View.RenderMode;Render Mode
View.RenderPerspective;Perspective
View.CameraUsageHint;Camera Usage Hint
View.RenderPipeline;Render Pipeline
Asset.Transform;Transform Asset;Transform: Creates the runtime data for this asset
Asset.TransformAll;Transform All Assets;Transform All: Runs asset transformation on all modified assets
Asset.CheckFilesystem;Check Filesystem;Checks for new or deleted assets on disk
Asset.WriteLookupTable;Write Lookup Table
Panel.AssetBrowser;Asset Browser
Panel.Log;Log
ezSceneViewPerspective::Orthogonal_Front;Ortho Front
ezSceneViewPerspective::Orthogonal_Right;Ortho Right
ezSceneViewPerspective::Orthogonal_Top;Ortho Top
ezSceneViewPerspective::Perspective;Perspective
ezViewRenderMode::None;Default
ezViewRenderMode::WireframeColor;Wireframe Color
ezViewRenderMode::WireframeMonochrome;Wireframe Monochrome
ezViewRenderMode::LitOnly;Lit Only
ezViewRenderMode::TexCoordsUV0;Texture Coordinates (UV0)
ezViewRenderMode::PixelNormals;Pixel Normals
ezViewRenderMode::VertexNormals;Vertex Normals
ezViewRenderMode::VertexTangents;Vertex Tangents
ezViewRenderMode::DiffuseColor;Diffuse Color
ezViewRenderMode::DiffuseColorRange;Diffuse Color Range Check
ezViewRenderMode::SpecularColor;Specular Color
ezViewRenderMode::EmissiveColor;Emissive Color
ezViewRenderMode::Roughness;Roughness
ezViewRenderMode::Occlusion;Ambient Occlusion
ezViewRenderMode::Depth;Depth
ezMeshPrimitive::File;From File
ezMeshPrimitive::Box;Box
ezMeshPrimitive::Rect;Rectangle
ezMeshPrimitive::Cylinder;Cylinder
ezMeshPrimitive::Cone;Cone
ezMeshPrimitive::Pyramid;Pyramid
ezMeshPrimitive::Sphere;Sphere
ezMeshPrimitive::HalfSphere;Half Sphere
ezMeshPrimitive::GeodesicSphere;Geodesic Sphere
ezMeshPrimitive::Capsule;Capsule
ezMeshPrimitive::Torus;Torus
ezBasisAxis::PositiveX;Positive X
ezBasisAxis::PositiveY;Positive Y
ezBasisAxis::PositiveZ;Positive Z
ezBasisAxis::NegativeX;Negative X
ezBasisAxis::NegativeY;Negative Y
ezBasisAxis::NegativeZ;Negative Z
Editor.Plugins;Editor Pl&ugins
Editor.Shortcuts;Shortcuts
Editor.ezQtPreferencesDlg;Preferences...
Engine.Plugins;Engine Pl&ugins
Engine.ezQtTagsDlg;Tags
ezCameraMode::PerspectiveFixedFovX;Perspective Fixed X
ezCameraMode::PerspectiveFixedFovY;Perspective Fixed Y
ezCameraMode::OrthoFixedWidth;Ortho Fixed Width
ezCameraMode::OrthoFixedHeight;Ortho Fixed Height
ezCameraUsageHint::None;None
ezCameraUsageHint::MainView;Main View
ezCameraUsageHint::EditorView;Editor View
ezCameraUsageHint::Thumbnail;Thumbnail
ezInputMessageGranularity::PressOnly;Only Key Pressed
ezInputMessageGranularity::PressAndRelease;Key Pressed and Released
ezInputMessageGranularity::PressReleaseAndDown;Key Pressed, Released and Down
ezInputMessageGranularity::PressReleaseDownAndUp;All, even Key Up
ezComponent;Component
Animation;Animation
FX;FX
