Gizmo.Mode.Select;Select
Gizmo.Mode.Translate;Translate
Gizmo.Mode.Rotate;Rotate
Gizmo.Mode.Scale;Scale
Gizmo.Mode.DragToPosition;Drag To Position
Gizmo.TransformSpace;Transform in World Space
Gizmo.Rotation.Snap.Menu;Rotation Snap
Gizmo.Rotation.Snap.0_Degree;No Rotation Snap
Gizmo.Rotation.Snap.1_Degree;1 Degree
Gizmo.Rotation.Snap.5_Degree;5 Degree
Gizmo.Rotation.Snap.10_Degree;10 Degree
Gizmo.Rotation.Snap.15_Degree;15 Degree
Gizmo.Rotation.Snap.30_Degree;30 Degree
Gizmo.Rotation.Snap.2_8125_Degree;2.8125 Degree (1/128)
Gizmo.Rotation.Snap.5_625_Degree;5.625 Degree (1/64)
Gizmo.Rotation.Snap.11_25_Degree;11.25 Degree (1/32)
Gizmo.Rotation.Snap.22_5_Degree;22.5 Degree (1/16)
Gizmo.Rotation.Snap.45_Degree;45 Degree (1/8)
Gizmo.Scale.Snap.Menu;Scaling Snap
Gizmo.Scale.Snap.0;No Scale Snap
Gizmo.Scale.Snap.8;8
Gizmo.Scale.Snap.4;4
Gizmo.Scale.Snap.2;2
Gizmo.Scale.Snap.1;1
Gizmo.Scale.Snap.0_5;0.5
Gizmo.Scale.Snap.0_25;0.25
Gizmo.Scale.Snap.0_125;0.125
Gizmo.Translate.Snap.Menu;Position Snap
Gizmo.Translate.Snap.PivotToGrid;Snap Pivot To Grid
Gizmo.Translate.Snap.ObjectsToGrid;Snap Each Object To Grid
Gizmo.Translate.Snap.0;No Position Snap
Gizmo.Translate.Snap.10;10
Gizmo.Translate.Snap.5;5
Gizmo.Translate.Snap.1;1
Gizmo.Translate.Snap.0_5;0.5
Gizmo.Translate.Snap.0_25;0.25
Gizmo.Translate.Snap.0_2;0.2
Gizmo.Translate.Snap.0_125;0.125
Gizmo.Translate.Snap.0_1;0.1
ActionToggleViews;Toggle Views
ActionSpawnView;Spawn View
ActionShowInScenegraph;Show in Scenegraph
ActionFocusOnSelection;Focus on Selection
ActionFocusOnSelectionAllViews;Focus All Views on Selection
ActionGroupSelectedItems;Group
ActionHideSelectedObjects;Hide Selected
ActionHideUnselectedObjects;Hide Unselected
ActionShowHiddenObjects;Show Hidden Objects
ActionUpdatePrefabs;Update Prefabs
ActionCreatePrefab;Create Prefab...
MenuPrefabs;Prefabs
ActionRevertPrefab;Revert Prefab
ActionOpenPrefabDocument;Edit Prefab...
ActionExportScene;Export Scene...
ActionRunScene;Run Scene...
ActionSimulateWorld;Simulate World
ActionRenderSelectionOverlay;Visualize Selection
Prefabs.Unlink;Unlink from Template
Selection.CreateEmptyNode;Create Empty Node
